,Team 0,Team 1,Winner
0,Bilibili_Gaming,Invictus_Gaming,1
1,Bilibili_Gaming,Invictus_Gaming,1
2,Bilibili_Gaming,JD_Gaming,1
3,Bilibili_Gaming,JD_Gaming,1
4,Bilibili_Gaming,Lgd,1
5,Bilibili_Gaming,Lgd,1
6,Bilibili_Gaming,Royal_Never_Give_Up,1
7,Bilibili_Gaming,Royal_Never_Give_Up,1
8,Bilibili_Gaming,Suning_Gaming,0
9,Bilibili_Gaming,Suning_Gaming,1
10,Bilibili_Gaming,Vici,0
11,Bilibili_Gaming,Vici,1
12,Bilibili_Gaming,EDward_Gaming,0
13,Bilibili_Gaming,FunPlus_Phoenix,0
14,Bilibili_Gaming,Oh_My_God,1
15,Bilibili_Gaming,Rogue_Warriors,1
16,Bilibili_Gaming,Snake_Esports,1
17,Bilibili_Gaming,We,0
18,Bilibili_Gaming,Topsports_Gaming,0
19,Invictus_Gaming,JD_Gaming,0
20,Invictus_Gaming,JD_Gaming,0
21,Invictus_Gaming,Lgd,0
22,Invictus_Gaming,Lgd,0
23,Invictus_Gaming,Royal_Never_Give_Up,0
24,Invictus_Gaming,Royal_Never_Give_Up,1
25,Invictus_Gaming,Suning_Gaming,0
26,Invictus_Gaming,Suning_Gaming,1
27,Invictus_Gaming,Vici,0
28,Invictus_Gaming,Vici,0
29,Invictus_Gaming,EDward_Gaming,0
30,Invictus_Gaming,FunPlus_Phoenix,0
31,Invictus_Gaming,Oh_My_God,0
32,Invictus_Gaming,Rogue_Warriors,0
33,Invictus_Gaming,Snake_Esports,0
34,Invictus_Gaming,We,0
35,Invictus_Gaming,Topsports_Gaming,0
36,JD_Gaming,Lgd,0
37,JD_Gaming,Lgd,1
38,JD_Gaming,Royal_Never_Give_Up,0
39,JD_Gaming,Royal_Never_Give_Up,1
40,JD_Gaming,Suning_Gaming,0
41,JD_Gaming,Suning_Gaming,1
42,JD_Gaming,Vici,0
43,JD_Gaming,Vici,0
44,JD_Gaming,EDward_Gaming,0
45,JD_Gaming,FunPlus_Phoenix,0
46,JD_Gaming,Oh_My_God,0
47,JD_Gaming,Rogue_Warriors,0
48,JD_Gaming,Snake_Esports,0
49,JD_Gaming,We,0
50,JD_Gaming,Topsports_Gaming,1
51,Lgd,Royal_Never_Give_Up,1
52,Lgd,Royal_Never_Give_Up,1
53,Lgd,Suning_Gaming,1
54,Lgd,Suning_Gaming,1
55,Lgd,Vici,0
56,Lgd,Vici,1
57,Lgd,EDward_Gaming,0
58,Lgd,FunPlus_Phoenix,0
59,Lgd,Oh_My_God,0
60,Lgd,Rogue_Warriors,1
61,Lgd,Snake_Esports,1
62,Lgd,We,0
63,Lgd,Topsports_Gaming,0
64,Royal_Never_Give_Up,Suning_Gaming,0
65,Royal_Never_Give_Up,Suning_Gaming,1
66,Royal_Never_Give_Up,Vici,0
67,Royal_Never_Give_Up,Vici,0
68,Royal_Never_Give_Up,EDward_Gaming,0
69,Royal_Never_Give_Up,FunPlus_Phoenix,1
70,Royal_Never_Give_Up,Oh_My_God,0
71,Royal_Never_Give_Up,Rogue_Warriors,1
72,Royal_Never_Give_Up,Snake_Esports,0
73,Royal_Never_Give_Up,We,0
74,Royal_Never_Give_Up,Topsports_Gaming,0
75,Suning_Gaming,Vici,0
76,Suning_Gaming,Vici,0
77,Suning_Gaming,EDward_Gaming,1
78,Suning_Gaming,FunPlus_Phoenix,0
79,Suning_Gaming,Oh_My_God,0
80,Suning_Gaming,Rogue_Warriors,1
81,Suning_Gaming,Snake_Esports,0
82,Suning_Gaming,We,1
83,Suning_Gaming,Topsports_Gaming,1
84,Vici,EDward_Gaming,1
85,Vici,FunPlus_Phoenix,1
86,Vici,Oh_My_God,1
87,Vici,Rogue_Warriors,1
88,Vici,Snake_Esports,1
89,Vici,We,1
90,Vici,Topsports_Gaming,1
91,EDward_Gaming,FunPlus_Phoenix,0
92,EDward_Gaming,FunPlus_Phoenix,0
93,EDward_Gaming,Oh_My_God,0
94,EDward_Gaming,Oh_My_God,0
95,EDward_Gaming,Rogue_Warriors,0
96,EDward_Gaming,Rogue_Warriors,1
97,EDward_Gaming,Snake_Esports,0
98,EDward_Gaming,Snake_Esports,1
99,EDward_Gaming,We,0
100,EDward_Gaming,We,0
101,EDward_Gaming,Topsports_Gaming,0
102,EDward_Gaming,Topsports_Gaming,1
103,FunPlus_Phoenix,Oh_My_God,0
104,FunPlus_Phoenix,Oh_My_God,0
105,FunPlus_Phoenix,Rogue_Warriors,0
106,FunPlus_Phoenix,Rogue_Warriors,1
107,FunPlus_Phoenix,Snake_Esports,0
108,FunPlus_Phoenix,Snake_Esports,1
109,FunPlus_Phoenix,We,0
110,FunPlus_Phoenix,We,1
111,FunPlus_Phoenix,Topsports_Gaming,0
112,FunPlus_Phoenix,Topsports_Gaming,1
113,Oh_My_God,Rogue_Warriors,1
114,Oh_My_God,Rogue_Warriors,1
115,Oh_My_God,Snake_Esports,0
116,Oh_My_God,Snake_Esports,1
117,Oh_My_God,We,0
118,Oh_My_God,We,1
119,Oh_My_God,Topsports_Gaming,0
120,Oh_My_God,Topsports_Gaming,1
121,Rogue_Warriors,Snake_Esports,0
122,Rogue_Warriors,Snake_Esports,0
123,Rogue_Warriors,We,0
124,Rogue_Warriors,We,1
125,Rogue_Warriors,Topsports_Gaming,0
126,Rogue_Warriors,Topsports_Gaming,0
127,Snake_Esports,We,0
128,Snake_Esports,We,1
129,Snake_Esports,Topsports_Gaming,1
130,Snake_Esports,Topsports_Gaming,1
131,We,Topsports_Gaming,1
